country_id,series_id,year,value
ARG,GC.XPN.TOTL.GD.ZS,1960,
ARG,GC.XPN.TOTL.GD.ZS,1961,
ARG,GC.XPN.TOTL.GD.ZS,1962,
ARG,GC.XPN.TOTL.GD.ZS,1963,
ARG,GC.XPN.TOTL.GD.ZS,1964,
ARG,GC.XPN.TOTL.GD.ZS,1965,
ARG,GC.XPN.TOTL.GD.ZS,1966,
ARG,GC.XPN.TOTL.GD.ZS,1967,
ARG,GC.XPN.TOTL.GD.ZS,1968,
ARG,GC.XPN.TOTL.GD.ZS,1969,
ARG,GC.XPN.TOTL.GD.ZS,1970,
ARG,GC.XPN.TOTL.GD.ZS,1971,
ARG,GC.XPN.TOTL.GD.ZS,1972,
ARG,GC.XPN.TOTL.GD.ZS,1973,
ARG,GC.XPN.TOTL.GD.ZS,1974,
ARG,GC.XPN.TOTL.GD.ZS,1975,
ARG,GC.XPN.TOTL.GD.ZS,1976,
ARG,GC.XPN.TOTL.GD.ZS,1977,
ARG,GC.XPN.TOTL.GD.ZS,1978,
ARG,GC.XPN.TOTL.GD.ZS,1979,
ARG,GC.XPN.TOTL.GD.ZS,1980,
ARG,GC.XPN.TOTL.GD.ZS,1981,
ARG,GC.XPN.TOTL.GD.ZS,1982,
ARG,GC.XPN.TOTL.GD.ZS,1983,
ARG,GC.XPN.TOTL.GD.ZS,1984,
ARG,GC.XPN.TOTL.GD.ZS,1985,
ARG,GC.XPN.TOTL.GD.ZS,1986,
ARG,GC.XPN.TOTL.GD.ZS,1987,
ARG,GC.XPN.TOTL.GD.ZS,1988,
ARG,GC.XPN.TOTL.GD.ZS,1989,
ARG,GC.XPN.TOTL.GD.ZS,1990,10.3254404487432
ARG,GC.XPN.TOTL.GD.ZS,1991,11.2055409345172
ARG,GC.XPN.TOTL.GD.ZS,1992,11.8011099217048
ARG,GC.XPN.TOTL.GD.ZS,1993,14.2818561185834
ARG,GC.XPN.TOTL.GD.ZS,1994,14.9007924176507
ARG,GC.XPN.TOTL.GD.ZS,1995,15.5112306915719
ARG,GC.XPN.TOTL.GD.ZS,1996,15.1655476442657
ARG,GC.XPN.TOTL.GD.ZS,1997,15.0142218610321
ARG,GC.XPN.TOTL.GD.ZS,1998,15.0988005449104
ARG,GC.XPN.TOTL.GD.ZS,1999,16.7436856974566
ARG,GC.XPN.TOTL.GD.ZS,2000,16.8328883767368
ARG,GC.XPN.TOTL.GD.ZS,2001,16.9923529034125
ARG,GC.XPN.TOTL.GD.ZS,2002,19.6771706443151
ARG,GC.XPN.TOTL.GD.ZS,2003,19.8373029880995
ARG,GC.XPN.TOTL.GD.ZS,2004,16.8763416365527
ARG,GC.XPN.TOTL.GD.ZS,2005,
ARG,GC.XPN.TOTL.GD.ZS,2006,
ARG,GC.XPN.TOTL.GD.ZS,2007,
ARG,GC.XPN.TOTL.GD.ZS,2008,
ARG,GC.XPN.TOTL.GD.ZS,2009,
ARG,GC.XPN.TOTL.GD.ZS,2010,
ARG,GC.XPN.TOTL.GD.ZS,2011,
ARG,GC.XPN.TOTL.GD.ZS,2012,
ARG,GC.XPN.TOTL.GD.ZS,2013,
ARG,GC.XPN.TOTL.GD.ZS,2014,24.5697808575806
ARG,GC.XPN.TOTL.GD.ZS,2015,25.0083932347048
ARG,GC.XPN.TOTL.GD.ZS,2016,26.1799164832469
ARG,GC.XPN.TOTL.GD.ZS,2017,24.2825320419979
ARG,GC.XPN.TOTL.GD.ZS,2018,22.6877806247463
ARG,GC.XPN.TOTL.GD.ZS,2019,22.036480926619
ARG,GC.XPN.TOTL.GD.ZS,2020,25.8539425343283
ARG,GC.XPN.TOTL.GD.ZS,2021,22.8656312880663
ARG,GC.XPN.TOTL.GD.ZS,2022,
AUS,GC.XPN.TOTL.GD.ZS,1960,
AUS,GC.XPN.TOTL.GD.ZS,1961,
AUS,GC.XPN.TOTL.GD.ZS,1962,
AUS,GC.XPN.TOTL.GD.ZS,1963,
AUS,GC.XPN.TOTL.GD.ZS,1964,
AUS,GC.XPN.TOTL.GD.ZS,1965,
AUS,GC.XPN.TOTL.GD.ZS,1966,
AUS,GC.XPN.TOTL.GD.ZS,1967,
AUS,GC.XPN.TOTL.GD.ZS,1968,
AUS,GC.XPN.TOTL.GD.ZS,1969,
AUS,GC.XPN.TOTL.GD.ZS,1970,
AUS,GC.XPN.TOTL.GD.ZS,1971,
AUS,GC.XPN.TOTL.GD.ZS,1972,18.0591721289396
AUS,GC.XPN.TOTL.GD.ZS,1973,18.4620942975854
AUS,GC.XPN.TOTL.GD.ZS,1974,18.1438653457473
AUS,GC.XPN.TOTL.GD.ZS,1975,21.2739979791175
AUS,GC.XPN.TOTL.GD.ZS,1976,23.6475542597992
AUS,GC.XPN.TOTL.GD.ZS,1977,23.6206394744501
AUS,GC.XPN.TOTL.GD.ZS,1978,24.5017038207466
AUS,GC.XPN.TOTL.GD.ZS,1979,23.7016951436198
AUS,GC.XPN.TOTL.GD.ZS,1980,23.3651038919553
AUS,GC.XPN.TOTL.GD.ZS,1981,23.5611097619407
AUS,GC.XPN.TOTL.GD.ZS,1982,23.2934901282868
AUS,GC.XPN.TOTL.GD.ZS,1983,25.5752072224275
AUS,GC.XPN.TOTL.GD.ZS,1984,26.4727354411187
AUS,GC.XPN.TOTL.GD.ZS,1985,26.4246768467719
AUS,GC.XPN.TOTL.GD.ZS,1986,26.1276077006233
AUS,GC.XPN.TOTL.GD.ZS,1987,25.6937217569861
AUS,GC.XPN.TOTL.GD.ZS,1988,24.1975536864159
AUS,GC.XPN.TOTL.GD.ZS,1989,22.183936135549
AUS,GC.XPN.TOTL.GD.ZS,1990,21.8154817794558
AUS,GC.XPN.TOTL.GD.ZS,1991,23.1651177348678
AUS,GC.XPN.TOTL.GD.ZS,1992,24.4360236150715
AUS,GC.XPN.TOTL.GD.ZS,1993,24.9685414251466
AUS,GC.XPN.TOTL.GD.ZS,1994,25.0918839915049
AUS,GC.XPN.TOTL.GD.ZS,1995,25.3876469306915
AUS,GC.XPN.TOTL.GD.ZS,1996,24.5651582067881
