Pais_id,Año,Patentes,Bal_comercial(US$),PIB_crec(%_anual),PIB_per_cap(US$),INB_per_cap(US$),Educacion(%_PIB),Mortalidad_5,Mortalidad_neo,Salud(%_PIB),Desempleo,EDV,Homicidios
ARG,1993,787.0,-5692332332.33233,8.20697907221228,6957.41749889251,7110.0,1.3238824046110993,26.5,14.4,5.385922005832618,10.1,72.565,6.201749533976634
ARG,1994,694.0,-7914860000.0,5.83620070368526,7464.4747368819,7600.0,1.4019814365390826,25.4,14.2,5.385922005832618,11.76,73.172,6.201749533976634
ARG,1995,676.0,-1059485000.0,-2.84520961057079,7383.70450960064,7340.0,1.4767753282276932,24.3,13.6,5.385922005832618,18.8,73.133,6.201749533976634
ARG,1996,1097.0,-1767000000.0,5.52668982715234,7690.15700254783,7700.0,3.73198008537292,23.2,12.6,5.385922005832618,17.11,73.307,6.201749533976634
ARG,1997,824.0,-6485300000.0,8.1110467707457,8176.77119517435,8110.0,3.7027537612785615,22.2,11.5,5.385922005832618,14.82,73.09,6.201749533976634
ARG,1998,861.0,-7530100000.0,3.85017885156228,8250.67317414321,7990.0,4.03986978530884,21.3,10.9,5.385922005832618,12.65,73.474,6.201749533976634
ARG,1999,899.0,-4900400000.0,-3.38545704063269,7735.32208018486,7540.0,4.52167987823486,20.4,10.9,5.385922005832618,14.05,73.722,6.201749533976634
ARG,2000,1062.0,-1846455600.0,-0.78899893905691,7666.51783423783,7430.0,4.58030986785889,19.7,11.1,4.49895144,15.0,73.926,6.201749533976634
ARG,2001,691.0,3508536600.0,-4.40883968258557,7168.97587232911,6960.0,4.833740234375,19.0,11.0,4.59210253,17.32,74.186,8.34834280792868
ARG,2002,718.0,14670786469.0802,-10.8944848285903,2579.48876933284,4020.0,4.01734018325806,18.3,10.7,4.03350496,19.59,74.408,9.42324762172539
ARG,2003,792.0,14311606659.1997,8.83704079576924,3333.15290388997,3640.0,3.53504991531372,17.7,10.3,3.77215648,15.36,74.08,7.75115556419001
ARG,2004,786.0,11530324282.1261,9.02957330068152,4258.16026060875,3360.0,3.48652005195618,17.1,9.7,3.74438357,13.52,74.855,6.04621868694569
ARG,2005,1054.0,11805942344.4323,8.85165992013437,5086.62776073134,4240.0,3.86000990867615,16.6,9.2,3.91339946,11.51,75.139,5.62572777894156
ARG,2006,1020.0,13069507211.5385,8.04715150043027,5890.97800169795,5460.0,4.12821006774902,16.1,8.7,4.01898909,10.08,75.433,5.34743773442615
ARG,2007,937.0,12594785132.7093,9.00765087504757,7210.59554755899,6480.0,4.46260023117065,15.7,8.4,4.25491619,8.47,75.006,5.36411380031375
ARG,2008,801.0,13446803975.2178,4.05723310346406,8977.50685093365,7630.0,4.84440994262695,15.4,8.1,4.50854683,7.84,75.641,5.88720663318102
ARG,2009,640.0,16864736858.9573,-5.91852507634947,8184.38988923991,7760.0,5.53105020523071,15.0,7.8,5.66982841,8.65,75.936,6.49389936621435
ARG,2010,552.0,12270934023.3519,10.1253981561002,10385.9644319555,9270.0,5.01971006393433,14.5,7.6,5.56834269,7.71,75.721,5.80046925893628
ARG,2011,688.0,8971672206.31796,6.00395169280579,12848.7404762598,10710.0,5.29062986373901,13.9,7.5,5.68117285,7.18,76.124,6.04758007684834
ARG,2012,735.0,10642160447.0661,-1.0264204544321,13082.664325572,11890.0,5.34582996368408,13.3,7.5,6.13485479,7.22,76.467,6.3119206747939
ARG,2013,643.0,-549718918.473333,2.40532378079436,13080.2547323367,12870.0,5.43661022186279,12.7,7.4,6.22042274,7.1,76.491,7.24728815890076
ARG,2014,509.0,2127192190.98412,-2.51261532081394,12334.7982453893,12350.0,5.36144018173218,12.2,7.0,6.3273077,7.27,76.755,7.53781983762934
ARG,2015,546.0,-6393090842.80549,2.73115982828944,13789.060424772,12600.0,5.77611017227173,11.6,6.6,6.82437325,7.524,76.76,6.55846615392808
ARG,2016,884.0,-5796649625.96818,-2.08032784377811,12790.2640639201,12220.0,5.54548978805542,11.0,6.4,5.59118652,8.109,76.308,6.01123358722838
ARG,2017,393.0,-17049937741.2364,2.81850297775918,14613.035714704,13140.0,5.45431995391846,10.3,6.2,6.59935713,8.35,76.833,5.25938076500315
ARG,2018,425.0,-9914710977.84628,-2.61739646282038,11795.1628852236,12430.0,4.87773990631104,9.5,6.1,5.96251631,9.22,76.999,5.36772568472051
ARG,2019,442.0,14413857877.8198,-2.00086100285785,9963.67423069626,11220.0,4.77759981155396,8.6,5.9,6.05942106,9.84,77.284,5.15582342098159
ARG,2020,930.0,11573710633.0998,-9.94323513446069,8496.428156755,9010.0,5.27964019775391,7.7,5.6,6.6165266,11.46,75.892,5.36681384363525
ARG,2021,406.0,15050329403.8568,10.3982494646904,10636.1155301986,9960.0,4.6476001739502,6.9,5.1,6.386835494645816,8.74,75.39,4.62267855620475
ARG,2022,611.0418531799899,9363392139.15852,5.2430444992488,13686.0086737317,11620.0,4.5914070641043025,6.402412936578273,4.760811743405792,6.3098398187475935,6.491,75.33117272521383,4.653377142488928
AUS,1993,1663.0,-999859471.613266,4.04742526816615,17700.1155557894,18950.0,5.50545978546143,7.7,4.0,6.615055716397445,10.87,77.8780487804878,1.88866404838088
AUS,1994,1699.0,-1661016949.15254,3.98092334747493,18129.7907198601,18930.0,5.24475002288818,7.3,3.9,6.615055716397445,9.72,77.8780487804878,1.79719709141623
AUS,1995,1784.0,-7226017226.01723,3.88710629393142,20446.7198474713,19370.0,5.13100004196167,7.0,3.7,6.615055716397445,8.47,77.8292682926829,1.9774483129172
AUS,1996,1797.0,-1817146043.78728,3.85684122668562,22020.0797987016,20590.0,5.22780990600586,6.8,3.7,6.615055716397445,8.51,78.0780487804878,1.94378982624249
AUS,1997,1760.0,1194238542.49681,3.91283547292693,23645.0574875342,22060.0,5.240032334666414,6.6,3.6,6.615055716397445,8.36,78.4804878048781,1.97715940910201
AUS,1998,1862.0,-3507427253.61188,4.61335689242107,21478.3851573346,21920.0,5.236681741602723,6.4,3.6,6.615055716397445,7.68,78.6317073170732,1.79553800205111
