economy,series,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
ARG,SH.DYN.NMRT,16.8,16.3,15.6,15.0,14.7,14.6,14.4,14.2,13.6,12.6,11.5,10.9,10.9,11.1,11.0,10.7,10.3,9.7,9.2,8.7,8.4,8.1,7.8,7.6,7.5,7.5,7.4,7.0,6.6,6.4,6.2,6.1,5.9,5.6,5.1
ARG,SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,4.49895144,4.59210253,4.03350496,3.77215648,3.74438357,3.91339946,4.01898909,4.25491619,4.50854683,5.66982841,5.56834269,5.68117285,6.13485479,6.22042274,6.3273077,6.82437325,5.59118652,6.59935713,5.96251631,6.05942106,6.6165266,
ARG,SP.DYN.LE00.IN,70.564,71.052,71.425,71.784,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39
AUS,SH.DYN.NMRT,5.3,5.1,4.9,4.6,4.4,4.2,4.0,3.9,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.1,3.0,2.9,2.8,2.6,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.4,2.4,2.4
AUS,SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,5.45928478,5.46306753,5.66730642,5.62377834,5.79951096,5.72834206,5.71999836,5.87543869,5.96992397,6.24410963,6.09483814,6.25611258,6.17947626,5.9267602,6.90871811,7.23406696,7.17459917,7.21655941,7.20352697,7.5498395,7.99613142,
AUS,SP.DYN.LE00.IN,76.1517073170732,76.4326829268293,76.7136585365854,76.9946341463415,77.2756097560976,77.3780487804878,77.8780487804878,77.8780487804878,77.8292682926829,78.0780487804878,78.4804878048781,78.6317073170732,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3
BOL,SH.DYN.NMRT,43.8,42.9,41.9,40.9,39.8,38.8,37.8,36.9,35.8,34.6,33.3,31.9,30.6,29.5,28.6,27.9,27.4,26.9,26.3,25.6,24.8,23.9,23.0,21.9,21.0,20.0,18.9,17.9,16.9,16.1,15.5,14.8,14.2,13.7,13.2
BOL,SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,2.43201661,2.61401916,2.60214591,2.75486469,2.53551769,2.7536962,2.61106277,2.7755425,2.70188808,3.15830708,3.05729318,3.02061009,2.9963541,3.26242685,3.69240737,4.30645275,4.4294467,4.44758177,4.79799795,4.89661789,5.64873314,
BOL,SP.DYN.LE00.IN,54.492,55.156,55.772,56.422,57.097,57.629,58.418,58.989,59.534,60.084,60.752,61.332,61.871,62.346,62.843,63.306,63.635,64.004,64.386,64.779,65.027,65.446,65.88,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467,63.63
BRA,SH.DYN.NMRT,28.5,27.7,26.9,26.1,25.3,24.5,23.7,23.0,22.3,21.7,21.0,20.4,19.7,18.8,17.8,16.9,16.0,15.1,14.2,13.5,12.8,12.2,11.6,11.1,10.7,10.3,10.0,9.7,9.5,10.0,9.3,9.1,8.9,8.7,8.5
